ClipName,Frame,RootVel.x,RootVel.z,LFootVel.x,LFootVel.y,LFootVel.z,RFootVel.x,RFootVel.y,RFootVel.z,RootPos.x,RootPos.z,Forward.x,Forward.z
WalkFWD,32,0.006810819,2.01917,-0.06509234,0.116594,0.2203541,0.04394663,-0.008543157,0.3180068,0.006810819,2.01917,-0.05193244,0.9954077
WalkFWD,33,0.007485454,2.064429,-0.06972065,0.07609628,0.3074558,0.04236223,-0.006160871,0.2731077,0.007485454,2.064429,-0.05951419,0.9955617
WalkFWD,34,0.007904574,2.108074,-0.07360561,0.04710721,0.3694961,0.04123187,-0.000470418,0.2298175,0.007904574,2.108074,-0.06592643,0.9954965
WalkFWD,35,0.007902992,2.156764,-0.07641339,0.02596767,0.4398167,0.04137521,0.0109747,0.181699,0.007902992,2.156764,-0.07318813,0.9949382
WalkFWD,36,0.007486615,2.210652,-0.07462232,0.02022118,0.5981466,0.04242389,0.02231742,0.1282213,0.007486615,2.210652,-0.08108564,0.9938086
WalkFWD,37,0.006925118,2.261674,-0.06992823,0.03400071,0.6829318,0.04435692,0.03839333,0.07766359,0.006925118,2.261674,-0.08950944,0.9926571
WalkFWD,38,0.005759126,2.313904,-0.06057261,0.04999561,0.7336472,0.04774057,0.06166904,0.02701688,0.005759126,2.313904,-0.1028104,0.9910414
WalkFWD,39,0.004532693,2.365115,-0.05006481,0.04175097,0.7209892,0.05016399,0.08840393,-0.01862734,0.004532693,2.365115,-0.1189922,0.9892707
WalkFWD,40,0.00219444,2.422071,-0.04661005,0.03502524,0.6646479,0.05295438,0.1207814,-0.03860061,0.00219444,2.422071,-0.1234024,0.9884025
WalkFWD,41,0.0003532927,2.476928,-0.04453424,0.02996325,0.6063372,0.05455537,0.1614242,-0.05195993,0.0003532927,2.476928,-0.1260085,0.9877731
WalkFWD,42,-0.001301586,2.530612,-0.04287663,0.02551597,0.5484418,0.05618824,0.2028936,-0.05298866,-0.001301586,2.530612,-0.1266852,0.9874235
WalkFWD,43,-0.003379486,2.582837,-0.04044546,0.02083153,0.4944933,0.05915932,0.2340323,-0.04157554,-0.003379486,2.582837,-0.1251106,0.9876683
WalkFWD,44,-0.004430464,2.633398,-0.03939748,0.009046528,0.4437116,0.06103721,0.2253652,0.01183584,-0.004430464,2.633398,-0.1090958,0.9900575
WalkFWD,45,-0.005108575,2.682839,-0.03872786,-0.0009843674,0.3940461,0.06394592,0.1951071,0.07984416,-0.005108575,2.682839,-0.08784258,0.9925896
WalkFWD,46,-0.006060635,2.730418,-0.03778853,-0.006803534,0.3462424,0.06663337,0.1552278,0.158992,-0.006060635,2.730418,-0.0670583,0.9946258
WalkFWD,47,-0.007422138,2.776458,-0.0364264,-0.008094671,0.3000014,0.07055483,0.1156865,0.2360288,-0.007422138,2.776458,-0.04759843,0.9958002
WalkFWD,48,-0.008867717,2.821382,-0.03493997,-0.008037625,0.2548778,0.07511745,0.07734045,0.3201341,-0.008867717,2.821382,-0.02939965,0.9964556
WalkFWD,49,-0.01005641,2.865356,-0.0332424,-0.004082235,0.2110641,0.07833896,0.04268656,0.4055583,-0.01005641,2.865356,-0.01054007,0.9967991
WalkFWD,50,-0.01130627,2.913471,-0.03274059,0.006691014,0.1647044,0.079276,0.01852048,0.5105333,-0.01130627,2.913471,0.005340784,0.9967643
WalkFWD,51,-0.01214517,2.964124,-0.03281709,0.020093,0.1155821,0.07899719,0.01848204,0.6080272,-0.01214517,2.964124,0.0147685,0.9964249
